"latitude";"longitude";"count"
47.6018;7.6651;8
49.35388;9.14277;4
54.0904760035115;9.07169407409674;4
53.907774733223;10.97551;2
50.4862;7.3257;2
50.7;10.4;22
47.9798681354376;8.00796031951904;3
50.8288199;6.1386438;9
51.0656789482842;10.6142092962647;2
52.4262945094806;14.541263974266;12
50.98333;9.83333;2
49.22305;8.36388;29
47.916;7.7;34
54.3000984328867;9.66522216796875;2
48.613;9.843;2
47.9863325818744;10.180820608139;249
51.1346899357664;11.7167216908074;2
52.5358229945555;11.1514510041046;1
48.1916;7.7699;166
52;6.2;2
48.8054;9.2141;40
47.018;7.6482;1
52.9249;14.867;1
51.2906841868822;10.4465211039353;10
49.8;10.35;2
54.053492784295;13.7765763412781;4
48.7423;9.3066;46
50.7821596626534;14.2150872552947;9
48.2467;7.9548;40
47.3;11.5;71
49.6375;9.77972;11
47.999;7.7913;36
50.12553;9.93473;3
49.53333;10.4;2
49.86194;9.80583;4
48.502;9;1663
51.0977564204351;11.4963736534119;3
48.8;9.68333;25
49.96027;9.77222;33
47.787;7.8931;19
47.8811;7.73;4
48.3819;7.8497;26
54.322811959134;10.1397372063599;41
46.204722;5.228056;2
48.8451;8.4993;3
50.6017;8.6439;11312
48.0741;7.7552;9
52.49292;13.387685;61
48.03333;8.6;4
47.16667;9.53333;8
47.8961;7.355;43
47.2993726687214;8.66460800170898;1
50.86666;12.13333;9
47.6483;7.8006;4
49.506;11.1;5
48.03333;8.41666;64
50.9448551107265;11.9546266878052;8
48.28333;8.35;25
51.0427469072765;11.6770131058349;4
49.9532;10.8733;8
49.51027;9.97111;14
49.459444;8.168056;8
50.6368140798806;9.39622344970701;4
51.28333;11.43333;10
47.40313;8.4971;2
51.727453;10.611763;3
48.3201;7.7036;5
51.584608;10.6178604259338;1
49.89888;8.84444;4
48.8105941725031;8.19305419921875;1
48.0175;7.8017;67
53.36666;10.56666;4
52.5661773042733;13.4124180847168;15
47.297859;9.924774;16
50.5750444063427;9.57070494373318;4
50.977115627304;11.0245752697754;1817
51.55493;7.91403;1
48.1521;7.7498;37
47.269692;8.643199;1
50.5095;7.2985;1
52.1;13.5;32
49.9;12.3;2
50.8168;7.9391;2
47.995256;7.844967;3
48.009834;7.824889;3
49.6676;10.1249;6
50.6745966910218;8.04928813757328;1
48.06666;7.88333;21
50.9426223978322;13.7765264735413;3
48.5876;7.7587;2
47.87467;7.65721;11
51.692222;10.737778;70
50.3038143274661;8.06533813476562;1
48.847222;7.488611;1
48.105625821157;8.20326805114746;3
54.0741;9.98458;1
48.45;10.81666;2
51.302;9.5;1
48.9745413772942;14.4743366241455;2
47.961;8.0096;9
49.38333;10.16666;2
49.11666;9.2;4
45.961913;5.099132;1
49.2409;6.2041;1
50.5127781386311;12.9410628795624;19
48.5863;7.7525;4
49.3977922661038;8.79695892333984;3
53.2502459786173;10.4078723650513;42
51.1470117727396;11.3376537209319;5
50.1044180453589;8.7645893346405;96
49.8685296453215;9.48806762695312;2
50.4942;12.5994;3
48.6915;7.8822;4
49.2447;8.8787;1
48.0855;7.3205;5
50.22919;9.11041;2
46.0670226872492;11.121822495987;7
52.2642608284271;10.5235560125199;40
48.66666;11.46666;6
49.40611;9.82972;1
47.95;9.66666;2
52.6264666375368;11.1657467844086;1
49.46666;10.38333;5
54.3821553517179;8.67580096832273;20
47.440556;6.883056;1
47.9681;7.3963;8
52.68333;7.31666;3
53.737746;8.918839;10
47.102264862022;7.54799365997314;2
49.751;8.484;2
49.3417;9.025;1
47.8592;7.2645;13
52.7957056291482;11.9832227116394;2
47.8945;7.9501;1
48.195833;13.908333;17
48.3862;7.7584;2
52.2888348667873;8.91942892192083;36
49.4715;8.5684;5
48.9323;8.8467;6
46.750683;11.451874;81
49.0584;6.0751;10
49.5502784271886;10.7184946309662;4
50.23963;11.33308;43
47.7925;7.3388;1
50.956558;10.998761;6
47.9838;7.8212;8
47.5267064857252;7.87479400634766;1
47.7031;7.2758;4
54.308025458139;8.87250721565249;4
51.3404783508738;9.678955078125;2
52.7901819826973;11.7532704125977;5
47.569444;9.065833;14
48.0854;7.5696;28
54.3162594742545;8.94065518379216;6
47.65105;9.479828;40
50.4076971845586;6.257807661377;1
47.7038125091506;7.84810066223145;7
48.034;7.1711;7
49.5348197443971;9.50457048416138;2
47.912;7.8067;6
53.5273758506654;8.10958391522217;5
53.53561;10.06639;43
47.5104;7.2215;1
46.616667;10.7;1
48.6573;7.8297;4
53.8976262502043;9.1304091453552;12
