"longitude";"latitude";"count"
10.98793;52.091542;1
8.1359;48.8859;8
7.6295;47.8066;1
7.31875378332518;50.9615520627562;2
10.0993;51.6821;1
9.57070494373318;50.5750444063427;4
10.28333;49.76666;3
8.8403;47.75935;12
7.24662166400913;47.1414989432402;12
9.1546;49.0762;25
12.983437;50.985234;4
11.4319567089844;48.6286217389164;5
11.85493;52.27152;4
11.9;54.9;10
12.3;45.5;195
10.2;50.8;3
12.6235990476684;50.6036911001681;2
13.133333;51.533333;3
9.296279;47.762237;2
7.2985;47.8381;22
7.84830182790756;47.9896488116854;1
9.23958778381348;46.5490034092267;2
9.47411795372011;49.6087072735506;19
8.96004;46.01008;8
10.36666;50;3
7.83333;52.21666;122
8.3713;48.3094;6
11.8474056957702;50.8022945857449;2
8.4368;48.7964;15
7.6463;50.2715;2
9.5314;49.7252;2
13.4705445396728;51.1631345530546;206
11.3703614484406;51.0845060699783;6
13.5;50.3;18
8.18890638351445;47.6755141833347;2
7.826824;48.003588;3
13.644676;50.502291;12
14.379800250618;52.5330879308702;1
12.1309445740661;50.1697517617778;4
7.6037;48.2517;3
10.3203181083679;48.5680063431511;2
13.090451335907;54.3159992854783;3241
9.36637032142642;49.5844429391506;10
7.1094525872802;51.1459443050738;5
9.3;48.83333;3
12.15;48.53333;29
7.3204;48.1503;7
7.81153720104976;48.5736542292166;129
10.2205;50.0312;56
8.99166;49.205;2
8.35;50.01666;2
6.333333;45.583333;10
8.34851;51.44488;1
6.6306;49.7475;3
7.33882382537843;47.7472806619769;574
6.18150241139222;50.7288607146333;7
7.1054;47.6157;15
6.845;47.822222;3
10.16666;49.3;3
7.54799365997314;47.102264862022;2
8.198082;50.042648;12
6.0684;48.8417;4
10.98461;48.26559;2
10.9326971798706;48.7216514331108;6
8.00796031951904;47.9798681354376;3
8.4565;52.0714;1154
7.71193027496338;47.9588211915508;2
9.1705;46.9633;2
10.06639;53.53561;43
7.2766;48.0867;69
7.5455;48.0389;6
10.02401;50.6418;1
10.2;47.91666;2
9.71666;53.95;3
8.5823;49.38217;3
7.6435;48.514;1
8.80582065872193;48.099571369719;5
9.6904;50.0561;11
13.752136;49.618718;3
10.0686264038086;48.0950502533294;6
8.8467;48.9323;6
9.81666;48.38333;4
9.91247;53.50771;1
13.757629;50.764694;2
7.7;48.4;752
10.1;52.6;8
13.1629947089843;50.0912368129363;38
7.1138;49.9509;10
9.1799;48.7785;27
8.0906;48.1593;3
8.9;47.7;2
5.57206;50.640643;2
8.64061012695311;54.516145;34
9.56666;50;257
8.5684;49.4715;5
7.8389;48.1217;1
6.1029;48.6155;6
13.13;47.11;6
6.562;49.6053;17
10.41666;49.51666;1
11.2610180224457;47.4420070864301;80
10.03333;49.46666;7
9.1665;49.1153;3
7.95068198650705;48.7646605583903;1
11;47.4;231
7.6557;47.6267;5
11.45;51.83333;4
8.31666;51.83333;9
8.05213630199432;48.0999230230832;4
6.978889;47.783889;2
13.0801250952759;51.9915396071194;2
10.15;48.6833;2
11.736832;52.042778;41
9.334774;48.558886;2
9.22166;49.90138;1
8.116111;49.751667;3
9.93333;51.01666;4
9.4192;48.7074;4
14.5;52.901;8
7.44378407005308;46.948226128013;369
9.1571;49.0272;5
8.49093833862298;49.4534036517813;11
7.7266;47.9381;2
9.83247;47.6895;2
8.82116;54.77806;1
7.9605;47.5866;2
7.61666;50.3;32
9.01666;54.33333;23
13.8;53.21666;6
10.88333;48.41666;10
12.3764212017823;48.6195535312595;226
11.6770131058349;51.0427469072765;4
8.36666;50.68333;5
7.8115;48.4312;8
12.43333;52.4;2
12.4;50.1;13
9.25746016502376;49.7011657886684;2327
11.76666;51.9;9
13.498307;52.514556;1
11.6165097962952;53.144736403244;3
7.75420188903809;47.9377369194312;3
10.417442;50.563395;5
8.8416;48.9396;2
7.7671;48.9511;2
